barcode,page,page_url,crop_filenamex,y,width,height
7473924,20,https://invisibleaus.s3.amazonaws.com/ST84-1/1904-251-260-%5B7473924%5D/7473924-p20.jpg,7473924-20-handprint-0.jpg,93.48274955390553,107.64747262725076,722.6689478186482,1012.4884663192458
7473924,18,https://invisibleaus.s3.amazonaws.com/ST84-1/1904-251-260-%5B7473924%5D/7473924-p18.jpg,7473924-18-handprint-0.jpg,113.80781371130499,228.0921857586494,876.988879384089,857.4158833736959
7473937,26,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p26.jpg,7473937-26-handprint-0.jpg,247.53221010901882,387.39086476319,771.4568880079287,1004.5522424374983
7473937,24,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p24.jpg,7473937-24-handprint-0.jpg,219.78196233894946,412.9230167012828,785.8870168483646,1005.6673471273178
7473937,22,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p22.jpg,7473937-22-handprint-0.jpg,348.5431119920714,398.4908895415049,673.7760158572844,952.3821259794183
7473937,20,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p20.jpg,7473937-20-handprint-0.jpg,199.8017839444995,320.7907160933006,785.8870168483647,1115.5524902206475
7473937,18,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p18.jpg,7473937-18-handprint-0.jpg,187.59167492566897,308.5806888371543,810.3072348860258,1132.2025273881202
7473937,16,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p16.jpg,7473937-16-handprint-0.jpg,227.55203171456887,329.6707359159525,713.7363726461843,1010.1022548266558
7473937,14,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p14.jpg,7473937-14-handprint-0.jpg,198.69177403369673,369.63270043421284,753.6967294350843,957.9369984225996
7473937,12,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p12.jpg,7473937-12-handprint-0.jpg,225.33201189296332,376.2908399848751,771.4568880079286,1001.2222350040039
7473937,8,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p8.jpg,7473937-8-handprint-0.jpg,216.4519326065412,317.46070865980613,675.9960356788899,1021.2022796049707
7473937,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p6.jpg,7473937-6-handprint-0.jpg,251.97224975222989,375.18083750704363,707.0763131813676,977.9121829695424
7473937,4,https://invisibleaus.s3.amazonaws.com/ST84-1/1905-91-100-%5B7473937%5D/7473937-p4.jpg,7473937-4-handprint-0.jpg,218.67195242814668,411.81300859187076,769.236868186323,976.8071362826045
